dataset,variant,seed,epochs,best_epoch,best_val_acc,best_test_acc,final_train_acc,final_val_acc,final_test_acc,graph_keep,graph_sparsity,param_keep,param_sparsity,graph_churn,param_churn,graph_memory_state_norm,param_memory_state_norm,runtime_sec,num_nodes,num_edges,hidden_dim,memory_rank
pubmed,dense,0,120,83,0.800000011920929,0.7879999876022339,1.0,0.7940000295639038,0.7940000295639038,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36.63877606391907,19717,88651,64,16
pubmed,dense,1,120,103,0.8019999861717224,0.7900000214576721,1.0,0.7900000214576721,0.7879999876022339,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36.14793086051941,19717,88651,64,16
pubmed,dense,2,120,52,0.8019999861717224,0.7919999957084656,1.0,0.7860000133514404,0.7940000295639038,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.64926600456238,19717,88651,64,16
pubmed,graph_only,0,120,57,0.800000011920929,0.7900000214576721,1.0,0.7820000052452087,0.7919999957084656,0.6999999284744263,0.30000007152557373,1.0,0.0,0.005687586963176727,0.0,0.0631406307220459,0.0,110.29404211044312,19717,88651,64,16
pubmed,graph_only,1,120,80,0.800000011920929,0.7940000295639038,1.0,0.7839999794960022,0.7940000295639038,0.6999999284744263,0.30000007152557373,1.0,0.0,0.003609627252444625,0.0,0.049851302057504654,0.0,114.6525456905365,19717,88651,64,16
pubmed,graph_only,2,120,61,0.7979999780654907,0.7940000295639038,1.0,0.7820000052452087,0.7919999957084656,0.6999999284744263,0.30000007152557373,1.0,0.0,0.004478076472878456,0.0,0.04331545531749725,0.0,111.14999532699585,19717,88651,64,16
pubmed,param_only,0,120,92,0.8019999861717224,0.7919999957084656,1.0,0.7960000038146973,0.7919999957084656,1.0,0.0,0.699999988079071,0.30000001192092896,0.0,0.002857132814824581,0.0,0.7050279378890991,38.12652826309204,19717,88651,64,16
pubmed,param_only,1,120,95,0.8019999861717224,0.7929999828338623,1.0,0.7919999957084656,0.7919999957084656,1.0,0.0,0.7000000476837158,0.2999999523162842,0.0,0.002857055515050888,0.0,1.0874122381210327,38.14682698249817,19717,88651,64,16
pubmed,param_only,2,120,47,0.800000011920929,0.7889999747276306,1.0,0.7900000214576721,0.7929999828338623,1.0,0.0,0.7000000476837158,0.2999999523162842,0.0,0.0028570853173732758,0.0,0.8203457593917847,44.65473914146423,19717,88651,64,16
pubmed,dual_static,0,120,72,0.800000011920929,0.7889999747276306,1.0,0.7860000133514404,0.7910000085830688,0.6999999284744263,0.30000007152557373,0.6999999284744263,0.30000007152557373,0.002857184037566185,0.0028571458533406258,0.0,0.0,110.4377269744873,19717,88651,64,16
pubmed,dual_static,1,120,60,0.7979999780654907,0.7860000133514404,1.0,0.7879999876022339,0.7910000085830688,0.7000001072883606,0.2999998927116394,0.7000000476837158,0.2999999523162842,0.0028571037109941244,0.002857130952179432,0.0,0.0,112.21360945701599,19717,88651,64,16
pubmed,dual_static,2,120,50,0.800000011920929,0.7919999957084656,1.0,0.7879999876022339,0.7940000295639038,0.7000001668930054,0.29999983310699463,0.6999999284744263,0.30000007152557373,0.0028571488801389933,0.0028569987043738365,0.0,0.0,111.27587080001831,19717,88651,64,16
pubmed,ougp_no_cross,0,120,85,0.800000011920929,0.7929999828338623,1.0,0.7820000052452087,0.7919999957084656,0.7000000476837158,0.2999999523162842,0.7000000476837158,0.2999999523162842,0.005781661719083786,0.0028571877628564835,0.05985403433442116,0.6887989044189453,118.83650279045105,19717,88651,64,16
pubmed,ougp_no_cross,1,120,60,0.7979999780654907,0.7850000262260437,1.0,0.7820000052452087,0.7960000038146973,0.6999999284744263,0.30000007152557373,0.6999999284744263,0.30000007152557373,0.0036973978858441114,0.002857211045920849,0.05030974745750427,1.0605212450027466,118.67515683174133,19717,88651,64,16
pubmed,ougp_no_cross,2,120,50,0.800000011920929,0.7919999957084656,1.0,0.7799999713897705,0.7929999828338623,0.7000000476837158,0.2999999523162842,0.7000000476837158,0.2999999523162842,0.008729684166610241,0.002857058309018612,0.0428176075220108,0.7961211800575256,125.02135229110718,19717,88651,64,16
pubmed,ougp,0,120,85,0.800000011920929,0.7889999747276306,1.0,0.7860000133514404,0.7919999957084656,0.7000000476837158,0.2999999523162842,0.6999998688697815,0.3000001311302185,0.004171919543296099,0.0028571300208568573,0.06343579292297363,0.692460834980011,123.30205655097961,19717,88651,64,16
pubmed,ougp,1,120,60,0.7979999780654907,0.7860000133514404,1.0,0.7820000052452087,0.7950000166893005,0.6999999284744263,0.30000007152557373,0.6999998688697815,0.3000001311302185,0.016192341223359108,0.002857147715985775,0.051038384437561035,1.0704904794692993,119.98119616508484,19717,88651,64,16
pubmed,ougp,2,120,50,0.800000011920929,0.7919999957084656,1.0,0.7839999794960022,0.7929999828338623,0.6999999284744263,0.30000007152557373,0.699999988079071,0.30000001192092896,0.004802157171070576,0.002857198938727379,0.04281922057271004,0.8029820919036865,121.39893889427185,19717,88651,64,16
